filepath,label,class
airplane/airplane_001.jpg,0,airplane
airplane/airplane_003.jpg,0,airplane
airplane/airplane_004.jpg,0,airplane
airplane/airplane_006.jpg,0,airplane
airplane/airplane_007.jpg,0,airplane
airplane/airplane_008.jpg,0,airplane
airplane/airplane_009.jpg,0,airplane
airplane/airplane_010.jpg,0,airplane
airplane/airplane_011.jpg,0,airplane
airplane/airplane_012.jpg,0,airplane
airplane/airplane_013.jpg,0,airplane
airplane/airplane_016.jpg,0,airplane
airplane/airplane_017.jpg,0,airplane
airplane/airplane_018.jpg,0,airplane
airplane/airplane_019.jpg,0,airplane
airplane/airplane_020.jpg,0,airplane
airplane/airplane_023.jpg,0,airplane
airplane/airplane_024.jpg,0,airplane
airplane/airplane_025.jpg,0,airplane
airplane/airplane_026.jpg,0,airplane
airplane/airplane_027.jpg,0,airplane
airplane/airplane_029.jpg,0,airplane
airplane/airplane_030.jpg,0,airplane
airplane/airplane_031.jpg,0,airplane
airplane/airplane_032.jpg,0,airplane
airplane/airplane_034.jpg,0,airplane
airplane/airplane_037.jpg,0,airplane
airplane/airplane_038.jpg,0,airplane
airplane/airplane_039.jpg,0,airplane
airplane/airplane_040.jpg,0,airplane
airplane/airplane_042.jpg,0,airplane
airplane/airplane_043.jpg,0,airplane
airplane/airplane_044.jpg,0,airplane
airplane/airplane_045.jpg,0,airplane
airplane/airplane_046.jpg,0,airplane
airplane/airplane_047.jpg,0,airplane
airplane/airplane_049.jpg,0,airplane
airplane/airplane_050.jpg,0,airplane
airplane/airplane_051.jpg,0,airplane
airplane/airplane_052.jpg,0,airplane
airplane/airplane_054.jpg,0,airplane
airplane/airplane_055.jpg,0,airplane
airplane/airplane_056.jpg,0,airplane
airplane/airplane_057.jpg,0,airplane
airplane/airplane_058.jpg,0,airplane
airplane/airplane_060.jpg,0,airplane
airplane/airplane_061.jpg,0,airplane
airplane/airplane_062.jpg,0,airplane
airplane/airplane_064.jpg,0,airplane
airplane/airplane_066.jpg,0,airplane
airplane/airplane_067.jpg,0,airplane
airplane/airplane_068.jpg,0,airplane
airplane/airplane_069.jpg,0,airplane
airplane/airplane_070.jpg,0,airplane
airplane/airplane_071.jpg,0,airplane
airplane/airplane_073.jpg,0,airplane
airplane/airplane_074.jpg,0,airplane
airplane/airplane_075.jpg,0,airplane
airplane/airplane_076.jpg,0,airplane
airplane/airplane_077.jpg,0,airplane
airplane/airplane_078.jpg,0,airplane
airplane/airplane_079.jpg,0,airplane
airplane/airplane_080.jpg,0,airplane
airplane/airplane_082.jpg,0,airplane
airplane/airplane_083.jpg,0,airplane
airplane/airplane_084.jpg,0,airplane
airplane/airplane_085.jpg,0,airplane
airplane/airplane_087.jpg,0,airplane
airplane/airplane_089.jpg,0,airplane
airplane/airplane_090.jpg,0,airplane
airplane/airplane_091.jpg,0,airplane
airplane/airplane_093.jpg,0,airplane
airplane/airplane_094.jpg,0,airplane
airplane/airplane_095.jpg,0,airplane
airplane/airplane_101.jpg,0,airplane
airplane/airplane_102.jpg,0,airplane
airplane/airplane_104.jpg,0,airplane
airplane/airplane_105.jpg,0,airplane
airplane/airplane_108.jpg,0,airplane
airplane/airplane_109.jpg,0,airplane
airplane/airplane_110.jpg,0,airplane
airplane/airplane_111.jpg,0,airplane
airplane/airplane_112.jpg,0,airplane
airplane/airplane_114.jpg,0,airplane
airplane/airplane_115.jpg,0,airplane
airplane/airplane_116.jpg,0,airplane
airplane/airplane_117.jpg,0,airplane
airplane/airplane_118.jpg,0,airplane
airplane/airplane_119.jpg,0,airplane
airplane/airplane_120.jpg,0,airplane
airplane/airplane_121.jpg,0,airplane
airplane/airplane_125.jpg,0,airplane
airplane/airplane_126.jpg,0,airplane
airplane/airplane_127.jpg,0,airplane
airplane/airplane_128.jpg,0,airplane
airplane/airplane_132.jpg,0,airplane
airplane/airplane_133.jpg,0,airplane
airplane/airplane_134.jpg,0,airplane
airplane/airplane_136.jpg,0,airplane
airplane/airplane_137.jpg,0,airplane
airplane/airplane_138.jpg,0,airplane
airplane/airplane_140.jpg,0,airplane
airplane/airplane_141.jpg,0,airplane
airplane/airplane_142.jpg,0,airplane
airplane/airplane_143.jpg,0,airplane
airplane/airplane_145.jpg,0,airplane
airplane/airplane_146.jpg,0,airplane
airplane/airplane_147.jpg,0,airplane
airplane/airplane_149.jpg,0,airplane
airplane/airplane_150.jpg,0,airplane
airplane/airplane_151.jpg,0,airplane
airplane/airplane_152.jpg,0,airplane
airplane/airplane_153.jpg,0,airplane
airplane/airplane_154.jpg,0,airplane
airplane/airplane_155.jpg,0,airplane
airplane/airplane_156.jpg,0,airplane
airplane/airplane_158.jpg,0,airplane
airplane/airplane_159.jpg,0,airplane
airplane/airplane_163.jpg,0,airplane
airplane/airplane_164.jpg,0,airplane
airplane/airplane_165.jpg,0,airplane
airplane/airplane_166.jpg,0,airplane
